date,玉米,小麦,外三元,肉鸡,原油,乙醇,
2020/7/1,1.69786799,2.215291262,31.90823174,4.367948532,52.01079178,1.253888488,1
2020/7/2,1.670600891,2.113648176,31.90823174,4.367948532,51.3033371,1.225160718,1
2020/7/3,1.667471647,2.213036537,32.14195251,4.757171631,50.20309067,1.253888488,1
2020/7/4,1.667471647,2.239098787,32.14195251,4.757171631,45.72465134,1.23470068,1
2020/7/5,1.679871082,2.229220867,32.14195251,4.757171631,36.12228394,1.196792483,1
2020/7/6,1.635151744,2.229220867,32.15242004,5.007773876,38.51144791,1.206203461,1
2020/7/7,1.667471647,2.286006451,32.15242004,5.007773876,37.3038559,1.097169161,1
2020/7/8,1.676800728,2.230342388,32.15242004,5.007773876,35.19986343,1.063171268,1
2020/7/9,1.670600891,2.254484415,32.7812233,5.007773876,35.70742798,0.999684393,1
2020/7/10,1.670600891,2.213036537,32.7812233,5.007773876,32.73143005,1.054893255,1
2020/7/11,1.667471647,2.200493336,32.7812233,5.007773876,31.7475853,1.022737026,1
2020/7/12,1.670600891,2.201127529,32.93625259,5.007773876,29.03500366,0.949745595,1
2020/7/13,1.670600891,2.286006451,32.93625259,5.007773876,31.55696297,0.963442564,1
2020/7/14,1.667471647,2.222364664,32.93625259,5.007773876,30.48505974,0.970465302,1
2020/7/15,1.641760111,2.218265057,32.92940521,4.80706501,30.52045822,1.01494813,1
2020/7/16,1.670600891,2.229220867,32.92940521,4.80706501,30.60557365,0.992213607,1
2020/7/17,1.69786799,2.215291262,32.92940521,4.80706501,30.7765007,0.992213607,1
2020/7/18,1.670600891,2.213036537,32.81145477,5.108311653,30.03553009,0.970465302,1
2020/7/19,1.673710465,2.262609482,32.81145477,5.108311653,29.06868553,0.911525369,1
2020/7/20,1.628474832,2.262609482,32.81145477,5.108311653,27.64523315,0.930089772,1
2020/7/21,1.703702092,2.257977724,32.92940521,5.108311653,27.63248444,0.930089772,4
2020/7/22,1.661155581,2.156222343,32.92940521,5.108311653,28.94090843,0.943073928,4
2020/7/23,1.635151744,2.04523778,32.92940521,5.108311653,32.64842224,0.943073928,4
2020/7/24,1.654763699,2.201127529,32.87869644,3.84765029,35.91848755,0.956535518,4
2020/7/25,1.667471647,2.276334763,32.87869644,3.84765029,35.15980911,0.992213607,4
2020/7/26,1.657968998,2.215291262,32.87869644,3.84765029,34.13085938,0.992213607,4
2020/7/27,1.676800728,2.245414019,32.88144302,3.699089527,34.89635849,0.992213607,4
2020/7/28,1.667471647,2.097997904,32.88144302,3.699089527,33.82688522,0.999684393,4
2020/7/29,1.667471647,2.13732934,32.88144302,3.699089527,34.02928925,0.999684393,4
2020/7/30,1.648298144,1.999690413,32.86704254,4.707466125,32.39303207,0.999684393,4
2020/7/31,1.654763699,2.234220505,32.86704254,4.707466125,30.99144936,1.01494813,4
2020/8/1,1.654763699,2.269603014,32.86704254,4.707466125,31.08503342,0.984852374,4
2020/8/2,1.69786799,2.269603014,32.36677551,4.707466125,31.27300835,0.956535518,4
